ID,Area(m2),Area(km2),Average Distance to Ambulance Station,<- Inverse,<- Percentage,Average Distance to Fire Station,<- Inverse,<- Percentage,Average Distance to Police Station,<- Inverse,<- Percentage,2008 Ambulance Calls,<- Per Area(km2),<- Percentage,2011 Fire Medical Calls + Fire Vehicle Incidents + Fires & Fire Alarms,<- Per Area(km2),<- Percentage,2011 Total Major Crime Incidents,<- Per Area(km2),<- Percentage,,,,,,,,
1,30160048.24,30.16004824,0.021938796,45.5813536,0.0045611,0.015905619,62.87086239,0.004609548,0.06350346,15.74717338,0.002074241,3613,119.7942381,0.001646135,2528,83.81949457,0.001786707,1119,37.10206267,0.002212311,,,,,,,,
2,4639858.703,4.639858703,0.011229634,89.05009493,0.008910802,0.011246121,88.91955108,0.006519378,0.03767411,26.54342764,0.00349634,2229,480.4025603,0.006601383,1436,309.4921833,0.006597174,690,148.7114251,0.00886732,,,,,,,,
3,3341142.921,3.341142921,0.017463552,57.26212027,0.005729937,0.016569638,60.35134953,0.004424823,0.023619108,42.33860115,0.005576904,793,237.3439326,0.003261428,461,137.9767376,0.002941129,192,57.46536576,0.003426527,,,,,,,,
4,2506850.622,2.506850622,0.020595447,48.5544204,0.0048586,0.009680297,103.3026109,0.007573911,0.036784921,27.18505238,0.003580856,664,264.8741789,0.00363973,433,172.7266859,0.003681863,164,65.42073092,0.003900888,,,,,,,,
5,2932612.368,2.932612368,0.030892541,32.37027396,0.003239133,0.022594072,44.25939722,0.003244998,0.034740638,28.78473323,0.003791568,836,285.0700656,0.003917249,499,170.1554578,0.003627055,185,63.08368676,0.003761535,,,,,,,,
6,5065728.423,5.065728423,0.026257556,38.08427493,0.003810905,0.019673693,50.82929834,0.003726688,0.052920858,18.89614106,0.002489028,1447,285.6450009,0.00392515,1110,219.1195238,0.004670779,351,69.28914673,0.004131552,,,,,,,,
7,5520056.891,5.520056891,0.015128107,66.10212441,0.006614512,0.012851449,77.81223536,0.005705015,0.048961694,20.42413005,0.002690297,1458,264.1277126,0.003629473,946,171.3750454,0.003653052,342,61.9558832,0.003694287,,,,,,,,
8,2803986.11,2.80398611,0.015371113,65.05709772,0.006509941,0.013343815,74.94108714,0.005494509,0.034906297,28.64812586,0.003773574,1244,443.6541235,0.006096409,714,254.6374953,0.005427884,106,37.80332564,0.002254125,,,,,,,,
9,5514135.619,5.514135619,0.016602619,60.23146217,0.006027064,0.017286012,57.85024352,0.004241448,0.028114456,35.56889015,0.004685188,795,144.1749088,0.001981159,455,82.51519938,0.001758904,185,33.55013601,0.002000517,,,,,,,,
10,5173772.098,5.173772098,0.019719887,50.7102288,0.005074321,0.013092615,76.3789339,0.005599929,0.028185013,35.47984886,0.004673459,520,100.5069396,0.001381102,312,60.30416379,0.001285451,157,30.34536447,0.001809424,,,,,,,,
11,8649743.354,8.649743354,0.026314729,38.00153135,0.003802625,0.013036094,76.71009278,0.005624209,0.054019495,18.51183547,0.002438407,1133,130.9865453,0.001799933,805,93.0663451,0.001983814,204,23.58451478,0.00140629,,,,,,,,
12,2955215.628,2.955215628,0.026147288,38.24488352,0.003826976,0.02121601,47.13421534,0.003455773,0.04418885,22.63014338,0.002980876,727,246.0057375,0.003380452,372,125.8791394,0.002683255,113,38.23748052,0.002280013,,,,,,,,
13,1797509.505,1.797509505,0.027192449,36.77491549,0.003679884,0.017366721,57.58139498,0.004221736,0.039726073,25.17238491,0.003315744,938,521.8331237,0.007170695,422,234.7692731,0.005004371,151,84.00511906,0.005009032,,,,,,,,
14,16247430.4,16.2474304,0.017521332,57.07328713,0.005711041,0.01279433,78.15962134,0.005730485,0.021694044,46.09560174,0.006071782,3953,243.3000113,0.003343272,2615,160.9485276,0.003430799,853,52.50060956,0.00313049,,,,,,,,
15,2639363.998,2.639363998,0.009737709,102.6935607,0.010276036,0.011710036,85.39683724,0.006261101,0.022310164,44.82262052,0.005904103,626,237.1783507,0.003259152,381,144.3529579,0.003077045,120,45.46549854,0.002711003,,,,,,,,
16,7949462.924,7.949462924,0.023699973,42.19414076,0.004222159,0.00992194,100.7867428,0.007389454,0.021141574,47.30016771,0.006230449,1930,242.7836973,0.003336177,977,122.9013846,0.002619781,326,41.00905974,0.002445276,,,,,,,,
17,7062226.379,7.062226379,0.022309756,44.8234393,0.004485259,0.016165671,61.85948005,0.004535396,0.015281975,65.43656657,0.008619403,2203,311.941289,0.004286496,1448,205.0344923,0.004370541,466,65.98485732,0.003934525,,,,,,,,
18,3482889.532,3.482889532,0.014378629,69.54765925,0.00695929,0.007769024,128.7162902,0.009437184,0.010019364,99.80673509,0.013146693,1195,343.1059151,0.004714741,811,232.8526336,0.004963515,321,92.1648525,0.005495578,,,,,,,,
19,2262861.455,2.262861455,0.019549195,51.15300193,0.005118627,0.015367497,65.07240482,0.00477096,0.032961929,30.33803062,0.003996171,706,311.994355,0.004287226,452,199.7470941,0.004257834,184,81.31297636,0.004848506,,,,,,,,
20,4980696.698,4.980696698,0.016431131,60.86008374,0.006089967,0.009615816,103.9953371,0.007624701,0.033494208,29.8559084,0.003932665,718,144.1565395,0.001980906,507,101.7929882,0.002169832,189,37.94649855,0.002262662,,,,,,,,
21,7970692.445,7.970692445,0.013366925,74.81152301,0.007486018,0.013725392,72.85766581,0.005341758,0.013232066,75.57399026,0.009954719,1035,129.8507008,0.001784325,891,111.7845164,0.002382813,289,36.25782854,0.002161971,,,,,,,,
22,4423744.592,4.423744592,0.014476237,69.07872544,0.006912366,0.015435349,64.78635639,0.004749988,0.015434734,64.78893463,0.008534096,896,202.5433389,0.00278322,501,113.2524696,0.002414104,345,77.98822759,0.004650258,,,,,,,,
23,4278172.927,4.278172927,0.021826849,45.81513416,0.004584493,0.019267368,51.90122402,0.003805279,0.036532383,27.37297464,0.003605609,765,178.8146513,0.002457156,648,151.4665281,0.003228679,222,51.89131056,0.003094159,,,,,,,,
24,3455427.803,3.455427803,0.020111681,49.72234784,0.004975469,0.020376988,49.07496584,0.003598064,0.01188617,84.13138965,0.011081913,1712,495.4524005,0.006808188,1148,332.2309321,0.007081876,572,165.5366665,0.00987057,,,,,,,,
25,5152136.981,5.152136981,0.00995299,100.472323,0.010053767,0.009822001,101.812249,0.007464642,0.01894438,52.78610294,0.006953065,2430,471.6489505,0.006481096,1371,266.1031733,0.005672288,734,142.4651563,0.008494869,,,,,,,,
26,14998913.83,14.99891383,0.015609682,64.06280216,0.006410447,0.013348751,74.91337392,0.005492477,0.031361468,31.88626244,0.004200106,3113,207.5483622,0.002851996,2068,137.8766505,0.002938996,981,65.40473606,0.003899934,,,,,,,,
27,13252544.1,13.2525441,0.019972539,50.06874736,0.005010131,0.014041235,71.21880762,0.0052216,0.039676439,25.20387465,0.003319892,2605,196.5660314,0.002701084,1948,146.9906446,0.003133271,776,58.55479475,0.003491488,,,,,,,,
28,2097305.186,2.097305186,0.016733732,59.7595339,0.00597984,0.012846819,77.84027841,0.005707071,0.021093202,47.4086381,0.006244737,887,422.923667,0.005811545,644,307.0607008,0.006545344,233,111.094943,0.006624336,,,,,,,,
29,2527589.508,2.527589508,0.014409763,69.39739253,0.006944253,0.010267111,97.39838606,0.007141027,0.019013632,52.59384484,0.00692774,778,307.8031451,0.004229633,460,181.9915768,0.003879355,117,46.28916192,0.002760116,,,,,,,,
30,3508841.428,3.508841428,0.012662788,78.97155083,0.007902292,0.009926036,100.7451545,0.007386405,0.011464248,87.22769932,0.011489763,1139,324.6085705,0.004460562,666,189.8062405,0.004045933,371,105.7329057,0.00630461,,,,,,,,
31,6040853.15,6.04085315,0.01313425,76.13681641,0.007618634,0.016521571,60.52693274,0.004437696,0.009827217,101.7582135,0.013403745,2095,346.8053184,0.004765575,1272,210.566284,0.004488457,551,91.21228183,0.005438778,,,,,,,,
32,3479554.767,3.479554767,0.021341302,46.85749765,0.004688798,0.011614076,86.10241559,0.006312832,0.019657572,50.87098347,0.006700802,1299,373.3236253,0.005129973,984,282.7948016,0.006028089,376,108.0598022,0.006443357,,,,,,,,
33,4144266.388,4.144266388,0.012528494,79.81805517,0.007986997,0.014154864,70.64709426,0.005179684,0.030091602,33.2318629,0.004377351,935,225.6129101,0.003100227,596,143.8131491,0.003065539,291,70.21749394,0.004186908,,,,,,,,
